TIME,TIME,DATE,TIMING,MONTH,DAY,HOUR,LOCATION,PEDESTRIANS,BICYCLISTS,CARS,BUSES,TRUCKS,LATITUDE,LONGITUDE,DAY_OF_WEEK,WEEKEND
2019-10-28 20:30:00-04:00,2019-10-28 20:30:00-04:00,2019-10-28,20:30:00,10,28,20,Campus_Dr_&_Presidential_Ave,0,0,3,0,0,38.985440,-76.954820,0,0
2019-10-28 20:45:00-04:00,2019-10-28 20:45:00-04:00,2019-10-28,20:45:00,10,28,20,Campus_Dr_&_Presidential_Ave,0,0,1,0,0,38.985440,-76.954820,0,0
2019-10-28 21:00:00-04:00,2019-10-28 21:00:00-04:00,2019-10-28,21:00:00,10,28,21,Campus_Dr_&_Presidential_Ave,0,0,1,0,0,38.985440,-76.954820,0,0
2019-10-28 21:15:00-04:00,2019-10-28 21:15:00-04:00,2019-10-28,21:15:00,10,28,21,Campus_Dr_&_Presidential_Ave,0,0,2,0,0,38.985440,-76.954820,0,0
2019-10-28 21:30:00-04:00,2019-10-28 21:30:00-04:00,2019-10-28,21:30:00,10,28,21,Campus_Dr_&_Presidential_Ave,0,0,4,0,0,38.985440,-76.954820,0,0
2019-10-28 21:45:00-04:00,2019-10-28 21:45:00-04:00,2019-10-28,21:45:00,10,28,21,Campus_Dr_&_Presidential_Ave,0,0,2,0,0,38.985440,-76.954820,0,0
2019-10-28 22:00:00-04:00,2019-10-28 22:00:00-04:00,2019-10-28,22:00:00,10,28,22,Campus_Dr_&_Presidential_Ave,1,0,2,0,0,38.985440,-76.954820,0,0
2019-10-28 22:15:00-04:00,2019-10-28 22:15:00-04:00,2019-10-28,22:15:00,10,28,22,Campus_Dr_&_Presidential_Ave,2,0,1,0,0,38.985440,-76.954820,0,0
2019-10-28 22:30:00-04:00,2019-10-28 22:30:00-04:00,2019-10-28,22:30:00,10,28,22,Campus_Dr_&_Presidential_Ave,0,1,0,0,0,38.985440,-76.954820,0,0
2019-10-28 22:45:00-04:00,2019-10-28 22:45:00-04:00,2019-10-28,22:45:00,10,28,22,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,0,0
2019-10-28 23:00:00-04:00,2019-10-28 23:00:00-04:00,2019-10-28,23:00:00,10,28,23,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,0,0
2019-10-28 23:15:00-04:00,2019-10-28 23:15:00-04:00,2019-10-28,23:15:00,10,28,23,Campus_Dr_&_Presidential_Ave,0,0,2,0,0,38.985440,-76.954820,0,0
2019-10-28 23:30:00-04:00,2019-10-28 23:30:00-04:00,2019-10-28,23:30:00,10,28,23,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,0,0
2019-10-28 23:45:00-04:00,2019-10-28 23:45:00-04:00,2019-10-28,23:45:00,10,28,23,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,0,0
2019-10-29 00:00:00-04:00,2019-10-29 00:00:00-04:00,2019-10-29,00:00:00,10,29,0,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,1,0
2019-10-29 00:15:00-04:00,2019-10-29 00:15:00-04:00,2019-10-29,00:15:00,10,29,0,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,1,0
2019-10-29 00:30:00-04:00,2019-10-29 00:30:00-04:00,2019-10-29,00:30:00,10,29,0,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,1,0
2019-10-29 00:45:00-04:00,2019-10-29 00:45:00-04:00,2019-10-29,00:45:00,10,29,0,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,1,0
2019-10-29 01:00:00-04:00,2019-10-29 01:00:00-04:00,2019-10-29,01:00:00,10,29,1,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,1,0
2019-10-29 01:15:00-04:00,2019-10-29 01:15:00-04:00,2019-10-29,01:15:00,10,29,1,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,1,0
2019-10-29 01:30:00-04:00,2019-10-29 01:30:00-04:00,2019-10-29,01:30:00,10,29,1,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,1,0
2019-10-29 01:45:00-04:00,2019-10-29 01:45:00-04:00,2019-10-29,01:45:00,10,29,1,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,1,0
2019-10-29 02:00:00-04:00,2019-10-29 02:00:00-04:00,2019-10-29,02:00:00,10,29,2,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,1,0
2019-10-29 02:15:00-04:00,2019-10-29 02:15:00-04:00,2019-10-29,02:15:00,10,29,2,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,1,0
2019-10-29 02:30:00-04:00,2019-10-29 02:30:00-04:00,2019-10-29,02:30:00,10,29,2,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,1,0
2019-10-29 02:45:00-04:00,2019-10-29 02:45:00-04:00,2019-10-29,02:45:00,10,29,2,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,1,0
2019-10-29 03:00:00-04:00,2019-10-29 03:00:00-04:00,2019-10-29,03:00:00,10,29,3,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,1,0
